time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
18.3107,471.25,154.25,259.4085,7.3037,44.0392
18.3748,471.50,153.75,259.6603,7.8074,44.2812
18.4548,472.25,154.00,260.4159,7.5556,44.7695
18.5190,473.25,154.25,261.4233,7.3037,44.5167
18.5830,473.25,154.00,261.4233,7.5556,44.7695
18.6468,473.75,153.75,261.9270,7.8074,45.0169
18.7108,473.75,153.75,261.9270,7.8074,45.0169
18.7749,473.75,153.75,261.9270,7.8074,45.0169
18.8547,472.75,154.00,260.9196,7.5556,45.2694
18.9190,470.50,154.25,258.6529,7.3037,44.7752
18.9827,467.75,154.00,255.8826,7.5556,45.2694
19.0467,465.00,154.25,253.1122,7.3037,44.7748
19.1108,462.75,154.25,250.8455,7.3037,45.0167
19.1747,460.25,154.50,248.3270,7.0519,44.7752
19.2549,457.75,154.50,245.8084,7.0519,44.7752
19.3189,454.75,154.75,242.7862,6.8000,45.0169
19.3827,452.50,155.25,240.5195,6.2963,44.7752
19.4470,449.75,154.75,237.7491,6.8000,45.0169
19.5107,447.00,155.00,234.9788,6.5482,45.0111
19.5747,444.75,155.00,232.7121,6.5482,45.2694
19.6549,442.00,155.00,229.9417,6.5482,45.0111
19.7188,439.75,155.25,227.6750,6.2963,45.0167
19.7829,436.75,155.25,224.6528,6.2963,45.0164
19.8468,434.25,155.50,222.1343,6.0445,44.7752
19.9110,431.75,155.50,219.6157,6.0445,44.7752
19.9749,429.00,155.75,216.8454,5.7926,45.2694
20.0548,426.75,155.50,214.5787,6.0445,44.7752
20.1186,423.75,155.75,211.5564,5.7926,45.0169
20.1826,421.75,156.25,209.5416,5.2889,44.5170
20.2468,419.00,156.00,206.7712,5.5408,45.0111
20.3108,416.25,156.00,204.0009,5.5408,44.7695
20.3749,414.00,156.00,201.7342,5.5408,45.0111
20.4547,411.25,156.00,198.9638,5.5408,44.7695
20.5189,409.00,156.25,196.6971,5.2889,44.7642
20.5827,406.25,156.50,193.9267,5.0371,44.7752
20.6469,403.50,156.50,191.1564,5.0371,45.0222
20.7109,401.00,156.75,188.6378,4.7852,44.7642
20.7748,398.25,156.50,185.8674,5.0371,44.7752
20.8550,396.00,157.00,183.6008,4.5334,45.0111
20.9187,393.50,156.75,181.0822,4.7852,44.7639
20.9834,391.00,157.00,178.5637,4.5334,45.0111
21.0468,388.50,156.75,176.0452,4.7852,44.7639
21.1115,385.50,157.25,173.0229,4.2815,44.7639
21.1750,383.00,157.00,170.5044,4.5334,45.0111
21.2552,380.50,157.25,167.9859,4.2815,44.7639
21.3188,377.75,157.50,165.2155,4.0296,44.7639
21.3825,375.75,157.50,163.2007,4.0296,44.7752
21.4468,372.75,158.00,160.1785,3.5259,44.7807
21.5108,370.25,157.50,157.6599,4.0296,44.7752
21.5749,367.25,157.75,154.6377,3.7778,45.0168
21.6548,365.50,157.75,152.8747,3.7778,44.7639
21.7189,362.50,158.00,149.8525,3.5259,45.0056
21.7829,360.50,157.75,147.8376,3.7778,44.7639
21.8469,357.50,158.00,144.8154,3.5259,45.0056
21.9109,355.25,158.00,142.5487,3.5259,44.7584
21.9748,352.50,158.00,139.7784,3.5259,45.0056
22.0551,350.00,158.50,137.2598,3.0222,44.5338
22.1189,347.50,158.50,134.7413,3.0222,44.5283
22.1831,344.75,158.75,131.9709,2.7704,45.0167
22.2470,342.25,158.50,129.4524,3.0222,44.7752
22.3112,339.50,158.75,126.6820,2.7704,44.7697
22.3747,337.50,158.75,124.6672,2.7704,44.7639
22.4546,334.75,159.00,121.8968,2.5185,44.7584
22.5191,332.25,159.00,119.3783,2.5185,44.7748
